((-5, -6, -5, -19, -56, -17, -13, -10), 2, 1.8417861718559791)
((10, 12, 7, 4, 1, 3, 20, 22), 2, 1.8643402520998342)
((-10, -6, -3, -19, -10, -10, 15, -19), 2, 1.8839459263132268)
((-1, 0, -5, -14, -72, -16, -101, -22), 2, 1.9057388149015668)
((-6, -5, 0, 13, 6, -9, -9, -6), 1, 1.996708915179302)
((1, 1, -4, -8, 5, 6, -128, 6), 1, 2.0208754673346148)
((-10, -5, -5, -14, -7, -8, -19, -29), 1, 2.044127449141279)
((8, 2, 8, 10, -6, -18, 17, 0), 1, 2.0735972549205197)
((-7, 0, -2, -8, -2, 0, 7, -11), 1, 2.094314782113878)
((-2, 5, 14, -5, -3, -4, -52, -7), 1, 2.1143902854839327)
((1, 0, 2, 6, 2, 6, -33, -1), 2, 2.138636092800381)
((-1, -1, 9, 8, 9, 0, -26, -8), 1, 2.160706659543205)
((-1, 1, 3, 9, -2, 0, -5, -4), 1, 2.182879858868795)
((-1, -1, -2, -19, 0, -11, 10, -10), 1, 2.2040455483402317)
((0, -4, 7, 9, 0, -10, -12, -4), 1, 2.224611407383502)
((2, 2, 3, 14, 2, -5, 1, 3), 1, 2.2463797781881816)
((-2, -3, -3, -14, -2, -10, -18, -4), 1, 2.2669159878186527)
((-1, 0, 4, -1, 4, 7, -1, 2), 1, 2.2911583740490093)
((-2, -4, -1, -3, -3, 2, -23, -1), 1, 2.3940213099452685)
((3, 7, 7, 1, -5, -8, -2, 0), 1, 2.4146766874079515)
((0, -3, -10, 2, 1, 5, -15, 1), 1, 2.436167950239162)
((3, 2, 5, 2, 1, 0, -10, 9), 1, 2.460126956504882)
((-3, 2, 6, 8, 0, 1, 13, -3), 1, 2.483410298267391)
((3, 3, -3, -25, -2, 17, 55, 8), 1, 2.5098142407270037)
((-6, -1, 1, 2, -4, -7, -7, 0), 1, 2.5307797966620464)
((-4, -1, 0, 4, -6, 7, 6, -4), 1, 2.551195698098275)
((-2, -5, -2, 1, 0, -3, -12, -3), 1, 2.57229638693396)
((-4, -3, -8, -5, -1, -2, -18, -3), 1, 2.5960216189833787)
((-1, 0, -3, 3, 2, -4, -42, -3), 1, 2.614456711572223)
((-2, 1, 10, 12, 0, 0, -18, -3), 1, 2.6329374186422965)
((2, -1, 0, 0, 2, 7, 16, 4), 1, 2.653528365650243)
((-5, -5, -4, -14, -4, -11, 2, -2), 1, 2.6747579153954004)
((1, 0, -1, 5, -2, 1, 23, 6), 1, 2.695149299047969)
((0, -1, 2, 4, 2, 2, -3, -5), 1, 2.7155948498969966)
((-8, 0, 7, -21, 4, 1, -25, -2), 1, 2.7345311315983487)
((0, -1, -4, -2, 1, 3, -12, -2), 1, 2.754005093997191)
((2, 0, -7, -11, -4, -5, 5, -2), 1, 2.775999256483956)
((-1, 3, 0, -11, 2, 0, 1, -1), 1, 2.7976678456109463)
((-3, 0, -2, -2, -2, 1, -12, 1), 1, 2.8185769536254677)
((1, 3, 4, 1, 2, -7, 3, 1), 1, 2.8380435036711105)
((-1, -1, -6, -1, -2, 4, 43, 10), 1, 2.857280840948576)
((-1, -3, -5, -12, -1, -3, -3, 1), 1, 2.877731523426742)
((-2, -1, 3, 12, -4, -6, -17, -3), 1, 2.898486112386099)
((-3, 1, 0, 2, 0, -4, -12, 0), 1, 2.9183056044802544)
((-3, 1, 0, 2, 0, -4, -12, 0), 1, 2.9355319133165207)
((1, -1, 5, 0, 0, 0, -8, -2), 1, 2.9557442601302637)
((0, -1, -3, -17, -1, 4, -10, -3), 1, 2.9775377188996193)
((-2, 1, 0, 1, 0, 1, -35, -2), 1, 2.9991413073908575)
((-2, -6, -17, -11, -3, -2, 0, -3), 1, 3.0186312348581303)
((-4, 0, -1, -7, -4, -1, -5, -4), 1, 3.0383743226962263)
((-1, -3, -2, -3, 1, -2, 44, 1), 1, 3.0566782736515363)
((-8, -1, 0, -2, 0, -1, -28, -2), 1, 3.0848252594751258)
((4, -5, -10, -13, -3, -4, -16, -5), 1, 3.10524914344557)
((-2, -3, 5, 19, 2, -5, -7, -3), 1, 3.122534751107434)
((-1, -1, -3, -1, 0, -1, -6, 0), 1, 3.14163296421715)
((4, 1, 0, -1, -1, 7, 41, 2), 1, 3.162061409635717)
((-1, -4, 1, 16, 0, -2, 17, -2), 1, 3.1889933397155596)
((0, 0, 4, 6, 1, 9, 3, 3), 1, 3.2077471634919936)
((-5, -6, -2, 0, -3, 1, 8, 0), 1, 3.23071462497199)
((-5, 4, 3, -2, -1, -3, -1, 3), 1, 3.2545350772509747)
((-6, -1, -2, -4, 1, -4, 2, 2), 1, 3.2780892549957836)
((-1, -3, -5, -6, -3, -5, -7, -3), 1, 3.303375642665277)
((3, 0, -1, 2, -2, -8, 0, 2), 1, 3.3250339685339907)
((1, 1, 1, -3, 0, -2, -10, -3), 1, 3.347133614508598)
((0, 3, 1, 1, 0, -1, -10, -3), 1, 3.371729512968482)
((3, 1, -4, 0, 1, 6, 4, 0), 1, 3.3958173801436744)
((-2, 2, 1, 0, 1, -1, -15, -1), 1, 3.4220154872567394)
((0, -3, -6, -4, 0, 4, -7, -1), 1, 3.4423087997746644)
((-1, -1, -6, -10, -5, 6, 0, 1), 1, 3.461454337908656)
((0, 0, 1, 2, 1, -1, 0, 1), 1, 3.4790467029567878)
((-1, 0, 0, 5, 1, -3, -18, -3), 1, 3.501281481832037)
((2, 1, 1, 1, -1, -3, -5, 2), 1, 3.5235213923364253)
((0, -1, 1, 2, -1, -1, -1, 1), 1, 3.5439715046335762)
((0, -1, 0, 0, 0, -5, 1, -4), 1, 3.5632755530898392)
((-2, -2, -2, -13, -3, 0, -9, -2), 1, 3.5827734630913275)
((-3, -3, -1, 1, -4, 0, 0, 0), 1, 3.60367629911468)
((-2, 0, -4, -7, 1, 5, 1, 0), 1, 3.6235955728865243)
((-5, -4, -8, 8, 1, 0, 11, -2), 1, 3.6431482202654877)
((1, 0, 4, 7, 1, -5, -10, -2), 1, 3.661818227432663)
((1, 1, 2, 4, -1, 1, 1, 3), 1, 3.6808662646130266)
((-1, -5, -7, -2, -2, 5, 1, 0), 1, 3.7020581824111702)
((2, 3, 6, -3, 1, 6, 9, 0), 1, 3.720697969984531)
((-3, -5, -2, -13, -3, 1, 2, -1), 1, 3.7387156900701264)
((5, -3, 3, 2, -2, -6, 16, -2), 1, 3.760209233625399)
((-1, -1, -1, 6, -2, -7, 0, 0), 1, 3.7789995489868167)
((-1, 2, 7, 3, -2, -1, 13, -1), 1, 3.800916737036507)
((-2, 0, -4, -1, -3, -3, -22, -6), 1, 3.8237074424017394)
((-3, -1, 2, 5, 1, 2, -3, -1), 1, 3.842379160111961)
((3, 3, 4, 3, 3, 8, 0, 3), 1, 3.8618457101576036)
((-2, 1, -6, -9, 0, 6, 7, 0), 1, 3.883583861368469)
((1, -1, 0, 1, -1, -6, -15, -3), 1, 3.902811505568673)
((-2, 0, 1, -7, 2, 2, 7, 0), 1, 3.9232393808062245)
((0, -2, -1, 2, -2, -4, 25, 0), 1, 3.9429374243441067)
((1, 0, 0, -7, 1, -4, -19, -3), 1, 3.961011022169208)
((0, -1, 2, 3, 1, -5, -6, 0), 1, 3.978468254316698)
((-1, -3, 1, 11, -1, -2, -34, -4), 1, 3.9966769850424413)
((-1, -4, -6, 0, -2, -4, -9, -3), 1, 4.017769691343911)
((-3, -2, -3, 2, -2, -4, 1, 0), 1, 4.039893284921164)
((-2, -1, 0, 0, -1, 2, -28, -3), 1, 4.060107912458968)
