((2, 2, 1, -21, -10, 3, -1, 0), 2, 0.9984622218015553)
((1, -1, 0, -17, -24, 0, -2, -3), 2, 1.0196974733568667)
((0, -1, -4, -5, -16, -5, 0, 0), 2, 1.040614563905603)
((1, 0, -6, -19, 32, -2, 3, 1), 2, 1.066158103213027)
((-1, 0, 0, -2, 40, 5, 1, -1), 2, 1.087355722821324)
((-2, -2, 0, 12, -22, 3, 6, 0), 2, 1.1117144259788154)
((-1, -3, -7, -10, -28, -9, -4, -4), 3, 1.1336624038033354)
((4, 3, -1, -6, -7, 8, 3, 5), 3, 1.1549700683475983)
((-8, -10, -13, -10, 5, -15, 4, -18), 3, 1.1753352236734596)
((12, 10, 11, 8, 5, 13, -71, 4), 3, 1.2199319317903854)
((7, 17, 46, 97, -14, 39, -113, -20), 3, 1.2433059323343383)
((4, 4, -4, -25, 28, 25, 4, 23), 1, 1.3275997831031419)
((-1, -7, -15, 0, -10, 0, -2, -5), 1, 1.348715296645226)
((-9, -4, -10, -10, 8, -18, -17, 13), 1, 1.3703240167656026)
((9, -1, -1, -4, 7, -12, 7, 6), 1, 1.3892774038974154)
((-17, -5, -8, 16, -9, -3, -9, -2), 1, 1.418040185217601)
((-3, -3, 3, 6, -2, -9, -6, 0), 1, 1.438684729240992)
((-6, -4, -6, -5, 4, 6, 8, -12), 1, 1.4593976949862273)
((6, -2, -10, -11, -7, 4, 3, 6), 1, 1.486148307503183)
((-8, -4, -5, -6, -2, 5, 12, 5), 1, 1.513750770457097)
((4, -2, 0, 1, 1, -4, -14, -3), 1, 1.5371960436279706)
((3, -2, -5, 8, -9, -2, -3, 4), 1, 1.563823497045607)
((-3, -2, 2, 4, 19, -4, -34, 2), 1, 1.5935133926967795)
((-6, -5, -12, -10, 15, -8, -45, -8), 1, 1.6305979659362457)
((-2, 5, 14, -1, 26, 0, -56, -10), 1, 1.6599748322099817)
((-2, 2, -6, -3, 4, 4, -2, 4), 1, 1.68803458033822)
((-10, -1, -3, -2, 1, 5, 15, 1), 1, 1.722932509383754)
((-5, -2, 9, 18, 6, -11, 0, -3), 1, 1.7550696219528814)
((-2, 0, 2, 0, 23, 7, 36, 1), 1, 1.7839281936836489)
((5, 6, 1, 1, 3, 41, 40, 13), 1, 1.8113179791188307)
((-1, 2, 7, 17, -6, -9, 0, 3), 1, 1.8337922340205346)
((-1, 2, -3, -5, 6, 16, -16, 2), 1, 1.8623389167358961)
((-5, -1, -4, -2, 3, -5, 1, 1), 1, 1.907098696623217)
((-2, -2, 2, -3, -6, -8, 17, -2), 1, 1.9361357350117943)
((0, -2, -3, -1, -1, 1, -15, -3), 1, 1.9609289161029952)
((-7, 3, 0, -7, -2, 9, 0, 0), 1, 1.9866982470925045)
((0, -2, 5, 2, 0, -6, 18, 0), 1, 2.0147876446335418)
((-4, -1, -11, -5, -17, -7, -36, -2), 1, 2.056902924971591)
((-8, -4, 0, -20, -1, -6, 8, 0), 1, 2.087117387156901)
((2, -1, 0, 4, 1, 7, 14, -4), 1, 2.1067829303769066)
((-2, -9, -13, -30, -8, 2, -2, -5), 1, 2.1345216665934936)
((-9, 1, 0, -5, 4, -4, 3, 0), 1, 2.154233394475744)
