((-4, -4, -23, -22, -10, -9, -4, -3), 1, 5.701810153669486e-07)
((1, -3, -2, 19, 7, 6, 3, 1), 1, 0.025959201267626433)
((-2, 0, -5, 23, 7, 5, 6, 0), 1, 0.16253351951644088)
((-4, -6, 4, -7, -11, -9, -5, -3), 1, 0.2337171981989122)
((-9, 3, 4, -14, 1, 2, 4, -6), 1, 0.25887244423487127)
((4, 3, -35, 30, 11, 2, 0, 0), 1, 0.2829631623151402)
((0, 1, 16, -5, 1, -1, 0, 0), 1, 0.30963223894689845)
((2, 9, 20, 7, 5, -2, -3, 2), 1, 0.3364193430488377)
((-1, 0, 7, 2, -4, 3, 6, -2), 1, 0.3619389347536162)
((-1, 2, -17, -1, -4, -4, -3, -1), 1, 0.38553473571254665)
((2, 2, -8, 9, 14, 5, 4, 2), 1, 0.41044423373088257)
((2, 3, 1, 12, -2, 0, -2, 2), 1, 0.43607558091467297)
((12, -2, -3, 12, 4, 9, -6, 17), 1, 2.460938324089749)
((-77, 56, 126, 35, -5, 1, 11, -1), 1, 2.486288001851948)
((72, -8, 2, -8, 21, 17, 4, -4), 1, 2.509676256921285)
((-94, 17, -5, 81, 12, -2, -2, 3), 1, 2.5283052110553537)
((-16, 10, -46, -19, 1, -7, 30, 0), 1, 2.55211197898997)
((-6, 29, 22, -11, 0, 8, -22, -22), 1, 2.5780888558690727)
((16, -33, 13, -10, -14, -11, -1, -8), 1, 2.599218053755526)
((-26, -10, 20, -9, 3, -1, 8, 0), 1, 2.61954101568625)
((1, -29, 1, -10, -13, -26, -31, -21), 1, 2.6443273546052666)
((-6, -13, -4, -18, -17, -19, -19, 2), 1, 2.664092679502962)
((52, -14, 13, -6, 8, 0, -4, -9), 1, 2.685063367067143)
((30, 17, -8, -4, 0, 7, 6, 11), 1, 2.7069229668342807)
((16, 2, -16, 8, 4, 7, 0, 4), 1, 2.726737327299298)
((4, 1, -17, -3, -3, -13, 6, 6), 1, 2.745275052470908)
((-27, 11, 2, 3, 5, -8, -2, -3), 1, 2.771331184511147)
((12, -28, -22, -22, -7, -2, 20, 11), 1, 2.7940990826357646)
((12, -1, 11, -6, 4, -7, -5, -6), 1, 2.8135907206460837)
((9, -18, -9, 3, 8, 3, 7, 4), 1, 2.837616438090601)
((22, -16, -3, -3, -3, -4, -14, -8), 1, 2.859700689177793)
((1, 91, 2, -1, -1, 7, 10, 9), 1, 2.884337070489768)
((5, 10, 0, 14, 4, 2, 1, -13), 1, 2.9093406483756397)
((11, -49, -6, 1, -2, -11, -27, -14), 1, 2.9291453157633955)
((10, 50, -3, 2, 0, 5, 13, 11), 1, 2.949269854700772)
((2, 2, -9, 15, 13, 10, 2, 3), 1, 2.9721460872183094)
((-3, 17, -3, 11, -2, -19, -2, -6), 1, 2.9971850163271334)
((54, -11, -15, 28, 6, 3, 1, 7), 1, 3.0179167980458756)
((5, 16, 4, -9, 0, 3, 1, 4), 1, 3.039834556276581)
((2, -3, -2, -1, 3, 1, 15, 7), 1, 3.0604044065869593)
((18, 18, -9, 3, 10, 9, 3, 2), 1, 3.08180957208485)
((-13, -1, -6, 0, 6, 1, -9, 3), 1, 3.102893725671089)
((-2, -36, 34, 15, -1, 14, 0, 0), 1, 3.123368925932916)
((-18, 35, -5, -7, -5, 20, 8, 0), 1, 3.1426222282788117)
((-8, -3, -6, 4, 2, 9, -3, 3), 1, 3.175834702242921)
((8, -102, 18, 3, -2, -3, -5, -5), 1, 3.206252719050717)
((-45, 10, 4, 16, 7, 9, 8, 1), 1, 3.225414222253139)
((-6, -9, -7, 1, 8, 17, 0, -6), 1, 3.2467977208724452)
((52, -8, -18, 1, -3, -4, 13, 27), 1, 3.2719592388995733)
((8, 92, 10, 2, 9, -2, -10, 5), 1, 3.2955658732977957)
((-32, 15, -9, -1, 2, 2, 3, 5), 1, 3.318813293656337)
